,,,,,,,revenue_per_person,customer_type 
,,,,,,,401.3333333,Transient
,,,,,,,387.45,Transient
,,,,,,,206.325,Transient
,,,,,,,172.2,Transient
,,,,,,,339.5,Transient
,,,,,,,324.3333333,Transient
,,,,,,,235.34,Transient
,,,,,,,310.6666667,Transient
,,,,,,,385.2,Transient
,,,,,,,492,Transient
,,,,,,,357.75,Contract
,,,,,,,357.75,Contract
,,,,,,,496.6666667,Transient
,,,,,,,40.75,Transient
,,,,,,,39.75,Contract
,,,,,,,105,Transient
,,,,,,,123,Transient
,,,,,,,36.9,Transient
,,,,,,,56.5,Transient
,,,,,,,0,Transient
,,,,,,,61.5,Transient
,,,,,,,73.8,Transient-Party
,,,,,,,114.5,Transient
,,,,,,,73.8,Transient-Party
,,,,,,,73.8,Transient-Party
,,,,,,,44.1,Transient
,,,,,,,48.5,Transient
,,,,,,,42.55,Transient
,,,,,,,89,Transient
,,,,,,,80.1,Transient
,,,,,,,49,Transient
,,,,,,,101,Transient
,,,,,,,48.5,Transient
,,,,,,,83.5,Transient
,,,,,,,150,Transient
,,,,,,,97,Transient
,,,,,,,174.6,Transient
,,,,,,,142.65,Transient
,,,,,,,307.5,Transient
,,,,,,,267.5,Transient
,,,,,,,489,Transient
,,,,,,,246,Transient
,,,,,,,244.5,Transient
,,,,,,,369.25,Transient
,,,,,,,287.35,Transient
,,,,,,,340.515,Transient
,,,,,,,399,Transient
,,,,,,,344.4,Transient
,,,,,,,393.75,Transient
,,,,,,,318,Transient
,,,,,,,414.8333333,Transient
,,,,,,,608.85,Contract
,,,,,,,1036.98,Contract
,,,,,,,938.7,Contract
,,,,,,,208.75,Transient
,,,,,,,246,Transient
,,,,,,,235.62,Transient
,,,,,,,228.4266667,Transient
,,,,,,,210,Transient
,,,,,,,129.3333333,Transient
,,,,,,,157.08,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,43.66666667,Transient
,,,,,,,98,Transient
,,,,,,,87.3,Transient
,,,,,,,145.5,Transient
,,,,,,,334,Transient
,,,,,,,183,Transient
,,,,,,,147.6,Transient
,,,,,,,307.5,Transient
,,,,,,,437.5,Transient
,,,,,,,353.4,Transient
,,,,,,,352.89,Transient
,,,,,,,323.75,Transient
,,,,,,,497,Transient
,,,,,,,165.375,Contract
,,,,,,,604,Transient
,,,,,,,436.5,Transient
,,,,,,,603,Transient
,,,,,,,319.3,Transient
,,,,,,,785.5,Transient
,,,,,,,456.85,Contract
,,,,,,,803,Transient
,,,,,,,774.9,Contract
,,,,,,,655.2,Contract
,,,,,,,292.25,Transient
,,,,,,,73.8,Transient
,,,,,,,123,Transient
,,,,,,,185.5,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,109.8,Transient
,,,,,,,65,Transient
,,,,,,,109.8,Transient
,,,,,,,154.4,Transient
,,,,,,,194,Transient
,,,,,,,200,Transient
,,,,,,,196,Transient
,,,,,,,228.75,Transient
,,,,,,,486.5,Transient
,,,,,,,278.25,Transient
,,,,,,,165.375,Contract
,,,,,,,886.55,Contract
,,,,,,,160.5,Transient
,,,,,,,262,Transient
,,,,,,,262,Transient
,,,,,,,246,Transient
,,,,,,,292,Transient
,,,,,,,221.4,Transient
,,,,,,,147.6,Transient
,,,,,,,61,Transient
,,,,,,,52.36,Transient
,,,,,,,52.36,Transient
,,,,,,,104.72,Transient
,,,,,,,166.05,Transient
,,,,,,,233.88,Transient
,,,,,,,261.3333333,Contract
,,,,,,,374.5,Transient
,,,,,,,313.88,Contract
,,,,,,,542.5,Transient
,,,,,,,298.6666667,Transient
,,,,,,,390.3,Transient-Party
,,,,,,,450.45,Transient-Party
,,,,,,,30.75,Transient
,,,,,,,82.66666667,Transient
,,,,,,,73,Transient
,,,,,,,145.5,Transient
,,,,,,,92.25,Transient
,,,,,,,114.75,Transient
,,,,,,,82,Transient
,,,,,,,210.16,Transient
,,,,,,,130.84,Transient
,,,,,,,392,Transient
,,,,,,,188.65,Transient
,,,,,,,163.75,Transient
,,,,,,,318.325,Transient
,,,,,,,327.6,Contract
,,,,,,,417.375,Contract
,,,,,,,471.555,Contract
,,,,,,,392,Transient
,,,,,,,472.52,Transient
,,,,,,,65.5,Transient
,,,,,,,88.2,Transient
,,,,,,,73.8,Transient
,,,,,,,98,Transient
,,,,,,,110.5,Transient
,,,,,,,131,Transient
,,,,,,,123.3333333,Transient
,,,,,,,87.3,Transient
,,,,,,,73.8,Transient
,,,,,,,180,Transient
,,,,,,,147,Transient
,,,,,,,144.45,Transient
,,,,,,,394,Transient-Party
,,,,,,,394,Transient-Party
,,,,,,,307.5,Transient
,,,,,,,205,Transient
,,,,,,,206.25,Transient
,,,,,,,186.75,Transient
,,,,,,,373.94,Transient
,,,,,,,563.5,Transient
,,,,,,,470.505,Transient
,,,,,,,505.505,Transient
,,,,,,,1064,Transient
,,,,,,,292.9266667,Transient
,,,,,,,234.2025,Transient
,,,,,,,319.5,Transient
,,,,,,,542.7,Transient
,,,,,,,561,Transient
,,,,,,,405.5333333,Transient
,,,,,,,688.35,Transient
,,,,,,,222.2966667,Transient
,,,,,,,380.905,Transient
,,,,,,,256.6,Transient
,,,,,,,301.5,Transient
,,,,,,,181.34,Transient
,,,,,,,380.01,Transient
,,,,,,,288.8,Transient
,,,,,,,298.5,Transient
,,,,,,,487.9,Transient
,,,,,,,258.3,Transient
,,,,,,,179.94,Transient
,,,,,,,246,Transient
,,,,,,,246,Transient
,,,,,,,123,Transient
,,,,,,,72.45,Transient
,,,,,,,76.5,Transient
,,,,,,,65.5,Transient
,,,,,,,100,Transient
,,,,,,,65.5,Transient
,,,,,,,123,Transient
,,,,,,,184.5,Transient
,,,,,,,196.5,Transient
,,,,,,,366.38,Transient
,,,,,,,581,Transient
,,,,,,,445,Transient
,,,,,,,427.5,Transient
,,,,,,,890,Transient
,,,,,,,398.65,Transient
,,,,,,,452.515,Transient
,,,,,,,38.25,Transient
,,,,,,,49,Transient
,,,,,,,338,Transient
,,,,,,,279,Transient
,,,,,,,463.015,Transient
,,,,,,,430.5,Transient
,,,,,,,410.27,Transient-Party
,,,,,,,347.6666667,Transient
,,,,,,,287.9975,Transient
,,,,,,,374.5,Contract
,,,,,,,273.5133333,Transient-Party
,,,,,,,417.375,Contract
,,,,,,,430.5,Transient
,,,,,,,369.985,Transient
,,,,,,,430.5,Transient
,,,,,,,505.505,Transient
,,,,,,,504,Transient
,,,,,,,667.35,Transient
,,,,,,,563.49,Transient
,,,,,,,676.5,Transient
,,,,,,,715,Contract
,,,,,,,155.3533333,Contract
,,,,,,,275.94,Transient
,,,,,,,40.05,Transient
,,,,,,,96.5,Transient
,,,,,,,88.2,Transient
,,,,,,,90.71,Transient
,,,,,,,114.5,Transient
,,,,,,,120.2,Transient
,,,,,,,119.25,Contract
,,,,,,,176.85,Transient
,,,,,,,192,Transient
,,,,,,,181.9,Transient
,,,,,,,142.6666667,Transient
,,,,,,,130.05,Transient
,,,,,,,307.5,Contract
,,,,,,,259.5,Transient
,,,,,,,245,Transient
,,,,,,,373.5,Transient
,,,,,,,614.985,Transient
,,,,,,,279.3,Transient-Party
,,,,,,,353.01,Transient
,,,,,,,353.01,Transient
,,,,,,,82,Transient-Party
,,,,,,,73.8,Transient
,,,,,,,117.9,Transient
,,,,,,,82,Transient-Party
,,,,,,,75,Transient
,,,,,,,161,Transient
,,,,,,,64,Transient
,,,,,,,123,Transient
,,,,,,,165,Transient
,,,,,,,132.3,Transient
,,,,,,,195,Transient
,,,,,,,132.3,Transient
,,,,,,,247.5,Transient
,,,,,,,456,Transient
,,,,,,,198.75,Transient
,,,,,,,332,Transient
,,,,,,,300,Transient
,,,,,,,198.75,Contract
,,,,,,,300,Transient
,,,,,,,360.5,Transient
,,,,,,,268,Transient
,,,,,,,300,Transient
,,,,,,,300,Transient
,,,,,,,273,Transient
,,,,,,,295.5,Transient
,,,,,,,391.5,Transient
,,,,,,,918,Transient
,,,,,,,295.5,Transient
,,,,,,,418.95,Transient-Party
,,,,,,,646.1,Transient
,,,,,,,422.8466667,Transient
,,,,,,,353.01,Transient
,,,,,,,50.1,Transient
,,,,,,,268.5,Transient
,,,,,,,385.2,Contract
,,,,,,,373.905,Transient
,,,,,,,52.75,Transient
,,,,,,,134,Transient
,,,,,,,4,Transient
,,,,,,,146,Transient
,,,,,,,252,Transient
,,,,,,,222.3,Transient
,,,,,,,340.5,Transient
,,,,,,,254.5,Transient
,,,,,,,381,Transient-Party
,,,,,,,323,Transient-Party
,,,,,,,346.005,Transient
,,,,,,,459.9,Transient
,,,,,,,630,Transient
,,,,,,,589.995,Transient
,,,,,,,484.515,Transient
,,,,,,,436.05,Transient
,,,,,,,481.5,Transient
,,,,,,,403.755,Transient
,,,,,,,769.3,Transient
,,,,,,,769.3,Transient
,,,,,,,937.5,Transient
,,,,,,,134,Transient
,,,,,,,137.25,Transient
,,,,,,,198.66,Transient
,,,,,,,320.7,Transient
,,,,,,,461.51,Transient
,,,,,,,432.26,Transient
,,,,,,,107,Transient-Party
,,,,,,,107,Transient-Party
,,,,,,,107,Transient-Party
,,,,,,,107,Transient-Party
,,,,,,,107,Transient
,,,,,,,428.2425,Transient
,,,,,,,107,Transient
,,,,,,,188,Transient-Party
,,,,,,,0,Transient-Party
,,,,,,,98.75,Transient-Party
,,,,,,,98.82,Transient-Party
,,,,,,,188,Transient-Party
,,,,,,,107,Transient
,,,,,,,107,Transient
,,,,,,,98.82,Transient-Party
,,,,,,,0,Transient-Party
,,,,,,,107,Transient-Party
,,,,,,,107,Transient
,,,,,,,107,Transient
,,,,,,,107,Transient-Party
,,,,,,,98.75,Transient-Party
,,,,,,,97.5,Transient
,,,,,,,120.6,Transient
,,,,,,,61.6,Transient
,,,,,,,112,Transient
,,,,,,,61.6,Transient
,,,,,,,42.25,Transient
,,,,,,,99,Transient
,,,,,,,103.5,Transient
,,,,,,,90.4,Transient
,,,,,,,103.5,Transient
,,,,,,,276,Transient
,,,,,,,201,Transient
,,,,,,,220.5,Transient
,,,,,,,226.995,Transient
,,,,,,,181.995,Transient
,,,,,,,375.5,Transient-Party
,,,,,,,347.5,Transient
,,,,,,,751,Transient-Party
,,,,,,,150.88,Transient
,,,,,,,270,Transient
,,,,,,,498,Transient
,,,,,,,405,Transient
,,,,,,,455,Contract
,,,,,,,385.2,Transient
,,,,,,,2240,Transient
,,,,,,,0,Transient
,,,,,,,127.25,Transient
,,,,,,,164,Transient
,,,,,,,144.5,Transient
,,,,,,,112,Transient
,,,,,,,134,Transient
,,,,,,,127.25,Transient
,,,,,,,155.5,Transient
,,,,,,,110.5,Transient
,,,,,,,144.5,Transient
,,,,,,,144.5,Transient
,,,,,,,123,Transient
,,,,,,,120.6,Transient
,,,,,,,215.2,Transient
,,,,,,,180.9,Transient
,,,,,,,267.5,Transient-Party
,,,,,,,222.9166667,Transient-Party
,,,,,,,258.75,Transient
,,,,,,,424,Transient-Party
,,,,,,,267.5,Transient-Party
,,,,,,,535,Transient-Party
,,,,,,,424,Transient-Party
,,,,,,,267.5,Transient-Party
,,,,,,,243.75,Transient
,,,,,,,492,Transient
,,,,,,,341.25,Transient
,,,,,,,437.5,Transient
,,,,,,,341.25,Transient
,,,,,,,463.05,Transient
,,,,,,,507.5,Transient
,,,,,,,322,Transient
,,,,,,,463.05,Transient
,,,,,,,588,Transient
,,,,,,,668,Transient
,,,,,,,560,Transient
,,,,,,,974.5,Transient
,,,,,,,155.25,Transient
,,,,,,,118.5,Transient
,,,,,,,192,Transient
,,,,,,,192.405,Contract
,,,,,,,202.5,Transient
,,,,,,,189.45,Transient
,,,,,,,231,Transient
,,,,,,,144.45,Transient
,,,,,,,189.45,Transient
,,,,,,,68,Transient
,,,,,,,118.5,Transient
,,,,,,,174.495,Transient
,,,,,,,218.6666667,Transient
,,,,,,,221.505,Transient
,,,,,,,435,Transient
,,,,,,,294,Transient
,,,,,,,252.45,Transient
,,,,,,,584.5,Transient
,,,,,,,482.125,Transient
,,,,,,,290,Transient
,,,,,,,265.2,Transient
,,,,,,,294,Transient
,,,,,,,209.3333333,Transient
,,,,,,,262.5,Transient
,,,,,,,331.25,Contract
,,,,,,,245.05,Transient
,,,,,,,157.5,Transient
,,,,,,,86.5,Transient
,,,,,,,62.25,Transient
,,,,,,,124.3333333,Transient
,,,,,,,285,Transient
,,,,,,,563.5,Transient
,,,,,,,619.5,Transient
,,,,,,,538.055,Transient
,,,,,,,402.5,Transient
,,,,,,,444.605,Transient
,,,,,,,448.875,Transient
,,,,,,,448.875,Transient
,,,,,,,402.5,Transient
,,,,,,,540,Transient
,,,,,,,668,Transient
,,,,,,,540,Transient
,,,,,,,871.5,Transient
,,,,,,,49,Transient
,,,,,,,49,Group
,,,,,,,67.5,Transient
,,,,,,,44.1,Group
,,,,,,,60.3,Transient
,,,,,,,154.5,Transient
,,,,,,,217.5,Transient
,,,,,,,184,Transient
,,,,,,,308,Transient
,,,,,,,287.5,Transient
,,,,,,,663.18,Transient
,,,,,,,554.75,Transient
,,,,,,,229.8975,Transient
,,,,,,,411.985,Transient
,,,,,,,430.5,Contract
,,,,,,,554.75,Transient
,,,,,,,412.44,Transient
,,,,,,,539,Transient
,,,,,,,408.975,Transient
,,,,,,,258.32,Transient
,,,,,,,321,Transient
,,,,,,,345,Transient
,,,,,,,430.5,Contract
,,,,,,,430.5,Transient
,,,,,,,390,Transient
,,,,,,,676,Contract
,,,,,,,861,Transient
,,,,,,,261,Transient
,,,,,,,123,Transient
,,,,,,,134.325,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,153.3333333,Transient
,,,,,,,230,Transient
,,,,,,,207,Transient
,,,,,,,314,Transient
,,,,,,,270,Transient
,,,,,,,223.3,Transient
,,,,,,,270,Transient
,,,,,,,243.75,Transient
,,,,,,,260,Transient
,,,,,,,337.5,Transient
,,,,,,,321,Transient
,,,,,,,399.51,Transient
,,,,,,,423.99,Transient
,,,,,,,423.535,Transient
,,,,,,,561.4933333,Transient
,,,,,,,293.125,Transient
,,,,,,,355.67,Transient
,,,,,,,519.19,Transient
,,,,,,,584.5,Transient
,,,,,,,403.5033333,Transient
,,,,,,,626.85,Transient
,,,,,,,449.1666667,Transient
,,,,,,,414,Transient
,,,,,,,500.4,Transient
,,,,,,,472,Transient
,,,,,,,708,Transient
,,,,,,,708,Transient
,,,,,,,1100,Transient
,,,,,,,1100,Transient
,,,,,,,157,Transient
,,,,,,,199,Transient
,,,,,,,172.5,Transient
,,,,,,,195,Transient
,,,,,,,207,Transient
,,,,,,,345,Transient
,,,,,,,326.66,Transient
,,,,,,,531.51,Transient
,,,,,,,222.9966667,Transient
,,,,,,,448.2,Transient
,,,,,,,480,Transient
,,,,,,,515.9,Transient
,,,,,,,76.5,Transient
,,,,,,,239.5,Transient
,,,,,,,270,Transient
,,,,,,,223.5866667,Transient
,,,,,,,195,Transient
,,,,,,,270,Transient
,,,,,,,446,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,77,Transient
,,,,,,,67,Transient
,,,,,,,112,Transient
,,,,,,,291,Transient-Party
,,,,,,,229.5,Transient
,,,,,,,202.5,Transient
,,,,,,,276,Transient
,,,,,,,210,Transient
,,,,,,,278,Transient
,,,,,,,253.65,Transient
,,,,,,,435,Transient
,,,,,,,346,Transient
,,,,,,,578.8,Transient
,,,,,,,164,Transient-Party
,,,,,,,173,Transient-Party
,,,,,,,56.25,Transient
,,,,,,,153,Transient-Party
,,,,,,,173,Transient-Party
,,,,,,,153,Transient-Party
,,,,,,,134,Transient
,,,,,,,153,Transient-Party
,,,,,,,116.5,Transient
,,,,,,,154,Transient
,,,,,,,173,Transient-Party
,,,,,,,135,Transient
,,,,,,,132.5,Transient
,,,,,,,222.67,Transient
,,,,,,,135,Transient
,,,,,,,107,Transient
,,,,,,,190.5,Transient
,,,,,,,270,Transient
,,,,,,,299.4,Transient
,,,,,,,322.5,Transient
,,,,,,,214,Transient
,,,,,,,188.6,Transient-Party
,,,,,,,188.6,Transient-Party
,,,,,,,402.5,Transient
,,,,,,,557.2,Transient
,,,,,,,571.515,Transient
,,,,,,,420,Transient
,,,,,,,616,Transient
,,,,,,,747,Transient
,,,,,,,662.5,Transient
,,,,,,,535,Transient
,,,,,,,569.24,Contract
,,,,,,,0,Transient
,,,,,,,199.5,Transient
,,,,,,,53.5,Transient
,,,,,,,58.905,Transient
,,,,,,,53.5,Transient
,,,,,,,60.3,Transient
,,,,,,,147,Transient
,,,,,,,153,Transient
,,,,,,,153,Transient
,,,,,,,134,Transient
,,,,,,,153,Transient
,,,,,,,177,Transient
,,,,,,,268,Transient
,,,,,,,337.5,Transient
,,,,,,,264.6166667,Transient
,,,,,,,335,Transient
,,,,,,,335,Transient
,,,,,,,177.5375,Transient
,,,,,,,300,Transient
,,,,,,,402,Transient
,,,,,,,402,Transient
,,,,,,,514.5,Transient
,,,,,,,616,Transient
,,,,,,,422.1,Transient
,,,,,,,581,Transient
,,,,,,,469,Transient
,,,,,,,514.5,Transient
,,,,,,,584.5,Transient
,,,,,,,375.2,Transient
,,,,,,,1053.04,Transient
,,,,,,,621.4666667,Transient
,,,,,,,360.48,Transient
,,,,,,,542.7,Transient
,,,,,,,1125,Transient
,,,,,,,693,Transient
,,,,,,,603,Transient
,,,,,,,685.5,Contract
,,,,,,,749,Contract
,,,,,,,309.925,Transient
,,,,,,,347.6666667,Transient
,,,,,,,455,Transient
,,,,,,,574,Transient
,,,,,,,308,Transient
,,,,,,,301.5,Transient
,,,,,,,155.25,Transient
,,,,,,,172.5,Transient-Party
,,,,,,,190.04,Transient
,,,,,,,397.5,Transient
,,,,,,,348.3333333,Transient
,,,,,,,190.04,Transient
,,,,,,,397.5,Transient
,,,,,,,315,Transient
,,,,,,,103.18,Transient
,,,,,,,609.035,Transient
,,,,,,,532,Transient
,,,,,,,532,Transient
,,,,,,,375.2,Transient
,,,,,,,0,Transient
,,,,,,,105,Transient
,,,,,,,145,Transient
,,,,,,,97.5,Transient
,,,,,,,248.4,Transient
,,,,,,,167,Transient
,,,,,,,217.5,Transient
,,,,,,,249,Transient
,,,,,,,172.5,Transient
,,,,,,,249,Transient
,,,,,,,241.2,Transient
,,,,,,,324,Transient
,,,,,,,306,Transient
,,,,,,,266.4,Transient
,,,,,,,268,Transient
,,,,,,,214,Transient
,,,,,,,193.3333333,Transient
,,,,,,,290,Transient
,,,,,,,214,Transient
,,,,,,,334.4,Transient
,,,,,,,268,Transient
,,,,,,,173.3333333,Transient
,,,,,,,328,Transient
,,,,,,,298,Transient
,,,,,,,385,Transient
,,,,,,,487.5,Transient
,,,,,,,335,Transient
,,,,,,,268,Transient
,,,,,,,410,Transient
,,,,,,,366.9,Transient
,,,,,,,478.8,Transient
,,,,,,,361.8,Transient
,,,,,,,574,Transient
,,,,,,,768.005,Transient
,,,,,,,469,Transient
,,,,,,,574,Transient
,,,,,,,375.2,Transient
,,,,,,,359.52,Transient
,,,,,,,38.28333333,Transient
,,,,,,,38.28333333,Transient
,,,,,,,135,Transient
,,,,,,,146.25,Transient
,,,,,,,259.5,Transient
,,,,,,,214,Transient
,,,,,,,214,Transient
,,,,,,,328,Transient
,,,,,,,347,Transient
,,,,,,,385,Transient
,,,,,,,337.5,Transient
,,,,,,,309.54,Transient
,,,,,,,462,Contract
,,,,,,,454.75,Transient
,,,,,,,0,Contract
,,,,,,,217.08,Transient
,,,,,,,292,Transient
,,,,,,,413.5,Transient
,,,,,,,335,Transient
,,,,,,,332.5,Transient
,,,,,,,400,Transient
,,,,,,,392.5,Transient
,,,,,,,47,Transient
,,,,,,,332.5,Transient
,,,,,,,362.5,Transient
,,,,,,,335,Transient
,,,,,,,335,Transient
,,,,,,,465,Transient
,,,,,,,318.325,Transient
,,,,,,,495.775,Transient
,,,,,,,347.34,Transient
,,,,,,,324.18,Transient
,,,,,,,318.325,Transient
,,,,,,,594.52,Transient
,,,,,,,86.5,Transient
,,,,,,,107,Transient
,,,,,,,114,Transient
,,,,,,,76.5,Transient
,,,,,,,153,Transient
,,,,,,,187.7475,Transient
,,,,,,,220.005,Transient
,,,,,,,231,Transient
,,,,,,,180.9,Transient
,,,,,,,210.555,Transient
,,,,,,,257.3333333,Transient
,,,,,,,220.005,Transient
,,,,,,,231,Transient
,,,,,,,309,Transient
,,,,,,,241.2,Transient
,,,,,,,344.5,Transient
,,,,,,,720,Transient
,,,,,,,566.505,Transient-Party
,,,,,,,566.505,Transient-Party
,,,,,,,443.485,Transient
,,,,,,,0,Contract
,,,,,,,0,Transient
,,,,,,,47,Transient
,,,,,,,76.5,Transient
,,,,,,,86.5,Transient
,,,,,,,86.5,Transient
,,,,,,,240,Transient-Party
,,,,,,,154.8,Transient
,,,,,,,192,Transient-Party
,,,,,,,153,Transient
,,,,,,,120.6,Transient
,,,,,,,192,Transient-Party
,,,,,,,120.6,Transient
,,,,,,,164,Transient
,,,,,,,109.75,Transient
,,,,,,,192.5,Transient
,,,,,,,224.55,Transient
,,,,,,,167.88,Transient
,,,,,,,180.9,Transient
,,,,,,,224.55,Transient
,,,,,,,259.5,Transient
,,,,,,,168,Transient
,,,,,,,230.4,Transient
,,,,,,,214,Transient
,,,,,,,344,Transient
,,,,,,,789,Transient
,,,,,,,510.99,Transient
,,,,,,,596.25,Contract
,,,,,,,96.3,Transient
,,,,,,,177.09,Transient-Party
,,,,,,,177.09,Transient-Party
,,,,,,,77,Transient
,,,,,,,101,Transient-Party
,,,,,,,67,Transient
,,,,,,,101,Transient-Party
,,,,,,,126,Transient-Party
,,,,,,,58.25,Transient
,,,,,,,105.5,Transient
,,,,,,,105.5,Transient
,,,,,,,296.25,Transient
,,,,,,,659.015,Transient
,,,,,,,361.8,Transient
,,,,,,,309.995,Transient
,,,,,,,388.745,Transient
,,,,,,,447.37,Transient
,,,,,,,679.49,Transient
,,,,,,,422.1,Transient
,,,,,,,337.2366667,Transient
,,,,,,,431.6666667,Transient
,,,,,,,385.2,Transient
,,,,,,,772.52,Transient
,,,,,,,948.51,Transient
,,,,,,,422.5,Transient
,,,,,,,582.3333333,Transient
,,,,,,,474.355,Transient
,,,,,,,2408,Transient
,,,,,,,72,Transient
,,,,,,,162.5,Transient
,,,,,,,524,Transient
,,,,,,,524,Transient
,,,,,,,456.1666667,Transient
,,,,,,,372,Transient
,,,,,,,490.5,Transient
,,,,,,,630.98,Transient
,,,,,,,611.66,Transient
,,,,,,,525.825,Transient
,,,,,,,556.5,Transient
,,,,,,,731.85,Contract
,,,,,,,0,Transient
,,,,,,,72.38,Transient
,,,,,,,205,Transient
,,,,,,,246,Contract
,,,,,,,432.5,Transient
,,,,,,,275.6875,Contract
,,,,,,,567.49,Transient
,,,,,,,279.3,Transient
,,,,,,,542.78,Contract
,,,,,,,422.1,Transient
,,,,,,,535.5,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,86,Transient
,,,,,,,663,Transient
,,,,,,,229.5,Transient
,,,,,,,307.3333333,Transient-Party
,,,,,,,461,Transient-Party
,,,,,,,422,Transient
,,,,,,,602.5,Transient
,,,,,,,633,Transient
,,,,,,,318.325,Transient-Party
,,,,,,,659.015,Transient
,,,,,,,318.325,Transient-Party
,,,,,,,939,Transient
,,,,,,,0,Transient
,,,,,,,0,Transient
,,,,,,,86,Transient
,,,,,,,85.95,Transient
,,,,,,,100,Transient
,,,,,,,224.1,Transient
,,,,,,,308,Transient
,,,,,,,296.5,Transient
,,,,,,,344,Transient
,,,,,,,457.5,Transient
,,,,,,,606.5,Transient
,,,,,,,229.3333333,Transient
,,,,,,,393.6566667,Transient
,,,,,,,664,Transient
,,,,,,,112,Transient
,,,,,,,86,Transient
,,,,,,,180.9,Transient
,,,,,,,189,Transient-Party
,,,,,,,201,Transient
,,,,,,,346,Transient
,,,,,,,373,Transient
,,,,,,,543,Transient
,,,,,,,319.0666667,Transient
,,,,,,,544.5,Transient
,,,,,,,616,Transient
,,,,,,,692,Transient
,,,,,,,454.75,Transient
,,,,,,,0,Transient
,,,,,,,57,Transient
,,,,,,,133.5,Transient
,,,,,,,150.6666667,Transient
,,,,,,,173,Transient
,,,,,,,211,Transient
,,,,,,,191,Transient
,,,,,,,259.5,Transient
,,,,,,,259.5,Transient
,,,,,,,277.5,Transient
,,,,,,,268,Transient
,,,,,,,306,Transient
,,,,,,,372,Transient
,,,,,,,214.4,Transient-Party
,,,,,,,552.5,Transient
